"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Spain","","","64800.0","64800.0","9236259.12","391496.304710879","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","109620.0","108000.0","8929221.3","378481.926229856","0.0","0.0"
"2017","01","1071 100","12074090","--OTHER","United Arab Emirates","","","418836.0","418000.0","8922466.64","378195.617195514","0.0","0.0"
"2017","01","1000 100","07135000","Dried broad beans and horse beans, shelled","Sudan","","","761520.0","760000.0","8732569.8","370146.480616475","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sweden","","","115440.0","115200.0","8673029.67","367622.759640898","0.0","0.0"
"2017","01","3052 505","52094200","--Denim","Turkey","","","126902.0","125429.0","8482135.54","359531.35103975","0.0","0.0"
"2017","01","3052 505","85171200","-- Telephone for cellular networks or for other wireless networks","Togo","48600.0","UN","7246.87","6565.67","8275594.79","350776.730868677","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Netherlands","","","531070.0","530000.0","8050650.87","341242.057544443","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Saudi Arabia","","","323580.87","322935.0","7821694.73","331537.318690076","0.0","0.0"
"2017","01","3052 505","64032000","-SANDLES, WITH LEATHER SOLES AND STRAPS (OVER INSTEP, AROUND BIG TOE)","United States","44118.0","2UN","41618.0","23051.0","7766609.0","329202.405879909","0.0","0.0"
"2017","01","1071 100","07139000","Dried leguminous vegetables, shelled, nes","Viet Nam","","","360720.0","360000.0","7668471.12","325042.646298353","0.0","0.0"
"2017","01","1000 100","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","8234252.0","UN","38184.0","33852.0","7552037.82","320107.400751096","0.0","0.0"
"2017","01","1000 100","19059020","---Fresh Injera","United States","","","159401.0","148305.0","7438797.53","315307.496969337","0.0","0.0"
"2017","01","1071 100","25231000","-Cement clinkers","Djibouti","","","4086720.0","4086720.0","7411090.62","314133.087206789","0.0","0.0"
"2017","01","1000 100","64051000","-FOOTWEAR, NES, WITH LEATHER OR COMPOSITION LEATHER UPPERS","Kenya","58080.0","2UN","41700.0","40600.0","7355490.42","311776.367613025","0.0","0.0"
"2017","01","3052 505","25232900","--other","Djibouti","","","3015000.0","3000000.0","7286958.94","308871.531268809","0.0","0.0"
"2017","01","1000 100","07129090","---Other vegetables","Israel","","","10686.0","9087.7","7212968.95","305735.32565848","0.0","0.0"
"2017","01","1071 100","06031100","--Roses","Norway","","","90073.0","79264.24","7206055.45","305442.283890438","0.0","0.0"
"2017","01","1000 100","71031000","-Unworked or simply sawn or roughly shaped","Hong Kong","","","62.52","48.77","7051860.22","298906.427548088","0.0","0.0"
"2017","01","3052 505","63029900","Toilet linen and kitchen linen of other textiles, nes","Turkey","","","70699.01","69623.01","6451348.1","273452.586024194","0.0","0.0"
"2017","01","1000 100","71031000","-Unworked or simply sawn or roughly shaped","United States","","","83.53","74.98","6408058.37","271617.668975339","0.0","0.0"
"2017","01","1000 100","19059020","---Fresh Injera","United Arab Emirates","","","191640.0","180463.0","6239585.83","264476.641856207","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Canada","3369450.0","UN","15966.0","11985.0","6227254.04","263953.935622791","0.0","0.0"
"2017","01","1000 100","12019000","-OTHER","Viet Nam","","","661320.0","660000.0","6142206.18","260349.021286696","0.0","0.0"
"2017","01","1000 505","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","Italy","","","22812.0","22205.0","5968350.82","252979.833165199","0.0","0.0"
"2017","01","3052 505","61109000","-JERSEYS, PULLOVERS, ETC, OF OTHER TEXTILES,NES, KNITTED OR CROCHETED","United States","1146522.0","UN","66437.2","53038.1","5853278.47","248102.27405668","0.0","0.0"
"2017","01","3052 505","54071090","---other","Kenya","","","49983.5","46976.5","5841668.72","247610.17285374","0.0","0.0"
"2017","01","1000 100","26159000","-other","China","","","5140.0","5000.0","5743514.34","243449.713888489","0.0","0.0"
"2017","01","1000 100","71031000","-Unworked or simply sawn or roughly shaped","India","","","47.98","41.02","5538010.07","234739.026881766","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","El Salvador","","","360720.0","360000.0","5313695.39","225231.025084562","0.0","0.0"
