"Year","HS Code","HS Description","Destination","Quantity","Unit","Net Mass (Kg)","FOB Value (ETB)","FOB Value (USD)"
"2000","08053000","Lemons and limes, fresh or dried","Yemen","","","24920.0","3041827.0","370173.54"
"2000","41042900","Other bovine and equine leather, tanned (excl. Leather of 41.08, 41.09)","Spain","","","43507.0","2986625.0","363455.76"
"2000","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","United Arab Emirates","","","193770.0","2983245.0","363044.43"
"2000","09011100","Coffee, not roasted or decaffeinated","Czechoslovakia","","","216000.0","2944818.0","358368.08"
"2000","12074000","Sesamum seeds","Jordan","","","689580.0","2880493.0","350540.08"
"2000","07133300","Dried kidney beans, incl. White pea beans, shelled","France","","","997588.0","2779087.0","338199.53"
"2000","09093000","Seeds of cumin","Yemen","","","250726.0","2710843.0","329894.61"
"2000","09011100","Coffee, not roasted or decaffeinated","Romania","","","198000.0","2693858.0","327827.63"
"2000","07099000","Other vegetables, fresh or chilled, nes","Djibouti","","","2010310.0","2673850.47","325392.83"
"2000","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Saudi Arabia","","","180150.0","2639438.0","321205.02"
"2000","19059090","--- other bread ,rice paper ,cakes ,etc ,nes","Saudi Arabia","","","397864.0","2622992.0","319203.63"
"2000","09011100","Coffee, not roasted or decaffeinated","Norway","","","126000.0","2592752.0","315523.59"
"2000","09011100","Coffee, not roasted or decaffeinated","South Africa","","","144000.0","2302790.0","280236.82"
"2000","07133300","Dried kidney beans, incl. White pea beans, shelled","Djibouti","","","708040.0","2302090.0","280151.63"
"2000","06031000","Fresh cut flowers and buds","United Germany","","","124099.0","2172417.0","264371.14"
"2000","07081000","Peas, fresh or chilled","France","","","79776.0","2144707.0","260998.99"
"2000","15219090","--- other beeswax , insect waxes","United Germany","","","85000.0","2096553.0","255138.91"
"2000","10089000","Other cereal, nes","United States","","","214900.0","2023014.0","246189.62"
"2000","10070000","Grain sorghum","Djibouti","","","953109.0","1982717.0","241285.7"
"2000","09011100","Coffee, not roasted or decaffeinated","Egypt","","","108000.0","1899565.0","231166.56"
"2000","09093000","Seeds of cumin","Saudi Arabia","","","212063.0","1898612.0","231050.59"
"2000","52082900","Bleached woven cotton fabrics, nes, with >=85% cotton","Sweden","","","7680.0","1836577.0","223501.27"
"2000","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Yemen","","","110000.0","1770106.0","215412.12"
"2000","41042900","Other bovine and equine leather, tanned (excl. Leather of 41.08, 41.09)","Greece","","","188005.0","1756960.08","213812.33"
"2000","87041000","Dumpers for off-highway use","Djibouti","7.0","No.","41800.0","1743456.0","212168.96"
"2000","14031000","Broomcorn","United States","","","217050.0","1663754.0","202469.67"
"2000","09041100","Dried pepper (excl. Crushed or ground)","Yemen","","","49995.0","1649575.0","200744.16"
"2000","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","Mexico","","","136375.0","1628367.0","198163.27"
"2000","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Greece","","","134700.0","1625554.0","197820.94"
"2000","17031000","Cane molasses resulting from the extraction or refining of sugar","Spain","","","6495827.0","1617577.0","196850.18"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Netherlands","","","15502.0","1567751.0","190786.63"
"2000","12149000","Other forage products, nes","Djibouti","","","1857656.0","1560915.0","189954.73"
"2000","41042900","Other bovine and equine leather, tanned (excl. Leather of 41.08, 41.09)","India","","","43897.0","1511141.0","183897.51"
"2000","07133300","Dried kidney beans, incl. White pea beans, shelled","Egypt","","","500000.0","1449380.0","176381.54"
"2000","41090000","Patent leather and patent laminated leather; metallized leather","Romania","","","5830.0","1417705.0","172526.86"
"2000","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Tunisia","","","89440.0","1365196.0","166136.81"
"2000","41090000","Patent leather and patent laminated leather; metallized leather","Spain","","","13198.0","1364109.0","166004.53"
"2000","41090000","Patent leather and patent laminated leather; metallized leather","Mexico","","","18130.0","1279682.0","155730.23"
"2000","12079900","Other oil seeds and oleaginous fruits, nes","Belgium","","","284911.0","1271937.0","154787.7"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","United Germany","","","12253.0","1264680.0","153904.57"
"2000","15219090","--- other beeswax , insect waxes","United States","","","51000.0","1236476.0","150472.3"
"2000","61091000","T-shirts, singlets and other vests, of cotton, knitted or crocheted","Italy","70000.0","No.","14425.0","1232204.0","149952.42"
"2000","52082900","Bleached woven cotton fabrics, nes, with >=85% cotton","Great Britain","","","74081.0","1224619.0","149029.36"
"2000","09024000","Black tea fermented/partly fermented,flavoured or not,in packings of >=3","Great Britain","","","92000.0","1213418.0","147666.27"
"2000","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","Spain","","","44898.0","1192539.02","145125.41"
"2000","07133300","Dried kidney beans, incl. White pea beans, shelled","Switzerland","","","419160.0","1187525.0","144515.23"
"2000","09093000","Seeds of cumin","Egypt","","","100832.0","1171868.0","142609.86"
"2000","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Egypt","","","64600.0","1089084.0","132535.5"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Singapore","","","14914.0","1014862.0","123503.1"
"2000","63026000","Toilet linen and kitchen linen, of terry fabrics, of cotton","Sweden","","","8562.0","991366.0","120643.76"
"2000","07133300","Dried kidney beans, incl. White pea beans, shelled","Greece","","","339420.0","986496.0","120051.11"
"2000","12102000","Hop cones, ground, powdered or in pellets; lupulin","United Arab Emirates","","","64485.0","964833.0","117414.84"
"2000","63026000","Toilet linen and kitchen linen, of terry fabrics, of cotton","United Germany","","","7656.0","962822.0","117170.12"
"2000","52082900","Bleached woven cotton fabrics, nes, with >=85% cotton","Djibouti","","","1232205.0","959493.0","116765.0"
"2000","12079900","Other oil seeds and oleaginous fruits, nes","Italy","","","196580.0","910665.0","110822.9"
"2000","07133300","Dried kidney beans, incl. White pea beans, shelled","Belgium","","","319216.0","895051.0","108922.76"
"2000","63029100","Toilet linen and kitchen linen of cotton, nes","Sweden","","","8281.0","881234.0","107241.31"
"2000","12079900","Other oil seeds and oleaginous fruits, nes","Canada","","","174475.0","866958.0","105504.0"
"2000","12079900","Other oil seeds and oleaginous fruits, nes","Singapore","","","169892.0","855648.0","104127.63"
"2000","12074000","Sesamum seeds","Switzerland","","","152694.0","850344.0","103482.17"
"2000","08045000","Guavas, mangoes and mangosteens, fresh or dried","Djibouti","","","437224.0","833223.0","101398.63"
"2000","05100090","--- ambergris ,castoreum,civet and musk;cantharides ;etc","France","","","230.0","824182.0","100298.39"
"2000","08030000","Bananas, including plantains, fresh or dried","Djibouti","","","496716.0","822240.01","100062.07"
"2000","12074000","Sesamum seeds","Djibouti","","","149685.0","814193.0","99082.79"
"2000","09101000","Ginger","Turkey","","","150000.0","801684.0","97560.51"
"2000","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Djibouti","","","18532.0","797374.0","97036.01"
"2000","09103000","Turmeric (curcuma)","Yemen","","","135144.0","786981.0","95771.24"
"2000","09011100","Coffee, not roasted or decaffeinated","New Zealand","","","31200.0","757607.0","92196.59"
"2000","09093000","Seeds of cumin","Netherlands","","","68712.0","748566.0","91096.35"
"2000","09011100","Coffee, not roasted or decaffeinated","Union Of Soviet Socialist Rep.","","","54000.0","741666.0","90256.65"
"2000","12075000","Mustard seeds","Netherlands","","","130220.0","733088.0","89212.76"
