"Year","HS Code","HS Description","Destination","Quantity","Unit","Net Mass (Kg)","FOB Value (ETB)","FOB Value (USD)"
"1998","10089000","Other cereal, nes","United States","","","102200.0","756591.0","106325.5"
"1998","09041100","Dried pepper (excl. Crushed or ground)","Japan","","","27500.0","751550.0","105617.08"
"1998","14049000","Vegetable products, nes","United States","","","3446.0","721481.27","101391.45"
"1998","09101000","Ginger","Sudan","","","176600.0","702207.0","98682.79"
"1998","12149000","Other forage products, nes","Djibouti","","","951940.0","669812.0","94130.25"
"1998","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Netherlands","","","7733.0","669505.0","94087.1"
"1998","32030000","Colouring matter of vegetable or animal origin, and preparations .....","Denmark","","","4485.0","630775.0","88644.28"
"1998","41042900","Other bovine and equine leather, tanned (excl. Leather of 41.08, 41.09)","Hong Kong","","","114843.0","617959.0","86843.22"
"1998","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","United Arab Emirates","","","45000.0","605301.0","85064.36"
"1998","87162000","Self-loading/unloading trailers and semi-trailers for agriculture","Saudi Arabia","8.0","No.","66640.0","573219.0","80555.81"
"1998","09102000","Saffron","Yemen","","","130570.0","570228.0","80135.47"
"1998","12074000","Sesamum seeds","France","","","102000.0","562547.0","79056.04"
"1998","41090000","Patent leather and patent laminated leather; metallized leather","United Germany","","","6606.0","556675.0","78230.84"
"1998","15219090","--- other beeswax , insect waxes","Italy","","","136000.0","552791.0","77685.01"
"1998","33021011","---of a kind used in preparing/flavoring food/in non_alcohlic drink indu","United Germany","","","3000.0","548886.0","77136.23"
"1998","12079900","Other oil seeds and oleaginous fruits, nes","Japan","","","98000.0","545544.0","76666.57"
"1998","02012000","Fresh or chilled unboned bovine meat (excl. Carcasses)","United Arab Emirates","","","41704.0","541146.0","76048.51"
"1998","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Greece","","","44160.0","530662.0","74575.17"
"1998","30022000","Vaccines for human medicine","Burundi","","","4589.0","529422.0","74400.91"
"1998","07133300","Dried kidney beans, incl. White pea beans, shelled","Greece","","","179152.0","528603.0","74285.81"
"1998","12074000","Sesamum seeds","United Germany","","","102000.0","519275.0","72974.93"
"1998","57011000","Carpets and other textile floor coverings, of wool..., knotted","Australia","49.0","Mt.sq.","2000.0","517442.0","72717.33"
"1998","15219090","--- other beeswax , insect waxes","Great Britain","","","18000.0","514860.0","72354.48"
"1998","52082900","Bleached woven cotton fabrics, nes, with >=85% cotton","Switzerland","","","23661.0","507987.0","71388.6"
"1998","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Korea, Republic Of","","","10098.0","507726.0","71351.92"
"1998","07133300","Dried kidney beans, incl. White pea beans, shelled","Canada","","","158880.0","503737.0","70791.34"
"1998","10089000","Other cereal, nes","Yemen","","","67300.0","486876.0","68421.82"
"1998","07133300","Dried kidney beans, incl. White pea beans, shelled","Madagascar","","","144000.0","461272.0","64823.63"
"1998","09102000","Saffron","Djibouti","","","104000.0","441457.0","62038.98"
"1998","41051100","Sheep, lamb skin leather, vegetable pre-tanned (excl. Further prepared)","Italy","","","16874.0","433500.0","60920.77"
"1998","09103000","Turmeric (curcuma)","Yemen","","","97337.0","431306.0","60612.44"
"1998","08052000","Mandarins, clementines, wilkings...etc, fresh or dried","Djibouti","","","251484.0","431219.0","60600.21"
"1998","12022000","Shelled ground-nuts, not roasted or otherwise cooked","Yemen","","","67615.0","424484.0","59653.73"
"1998","41090000","Patent leather and patent laminated leather; metallized leather","Netherlands","","","7735.0","410628.0","57706.51"
"1998","52082900","Bleached woven cotton fabrics, nes, with >=85% cotton","United Germany","","","19975.0","398670.0","56026.03"
"1998","87013000","Track-laying tractors","Djibouti","16.0","No.","13550.0","394443.0","55432.0"
"1998","41090000","Patent leather and patent laminated leather; metallized leather","Czechoslovakia","","","1020.0","374080.0","52570.34"
"1998","10070000","Grain sorghum","Djibouti","","","237300.0","372749.0","52383.29"
"1998","07102200","Shelled or unshelled beans, frozen","Djibouti","","","119664.0","369246.0","51891.0"
"1998","09041100","Dried pepper (excl. Crushed or ground)","Italy","","","13000.0","362334.0","50919.64"
"1998","09011100","Coffee, not roasted or decaffeinated","Singapore","","","16800.0","353406.0","49664.97"
"1998","64051000","Footwear, nes, with leather or composition leather uppers","Great Britain","4440.0","Pair","5500.0","349964.0","49181.26"
"1998","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Canada","","","30000.0","332861.0","46777.73"
"1998","12079900","Other oil seeds and oleaginous fruits, nes","Canada","","","99960.0","329781.0","46344.89"
"1998","09024000","Black tea fermented/partly fermented,flavoured or not,in packings of >=3","Pakistan","","","23000.0","327740.0","46058.07"
"1998","07032000","Garlic, fresh or chilled","Yemen","","","48450.0","314660.0","44219.91"
"1998","74040000","Copper waste and scrap","United Arab Emirates","","","43000.0","299304.0","42061.89"
"1998","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Philippines","","","4339.0","298650.0","41969.98"
"1998","12074000","Sesamum seeds","Djibouti","","","71098.0","296978.0","41735.01"
