"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2007","01","1000 100","02041000","Fresh or chilled lamb carcasses and half carcasses","Saudi Arabia","","","81992.5","81000.0","2360006.7","260840.511953314","0.0","0.0"
"2007","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","7659028.0","UN","14162.5","11788.0","2336737.61","258268.688174895","0.0","0.0"
"2007","01","1000 100","07132000","Dried chickpeas, shelled","United Arab Emirates","","","451362.0","450460.0","2300969.46","254315.401704301","0.0","0.0"
"2007","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Australia","","","91125.0","90000.0","2249153.32","248588.40589321","0.0","0.0"
"2007","01","1071 100","56012210","--- WEDDING OF MAN MADE FIBRES","United Arab Emirates","","","231246.94","227215.38","2213518.36","244649.840290903","0.0","0.0"
"2007","01","1000 100","06031000","Fresh cut flowers and buds","Netherlands","2397432.0","STM","88034.5","81886.5","2144844.93","237059.686992274","0.0","0.0"
"2007","01","1071 100","09101000","Ginger","Sudan","","","303271.2","301000.0","2135488.32","236025.544613548","0.0","0.0"
"2007","01","1000 100","12074000","Sesamum seeds","Singapore","","","304608.0","304000.0","2103224.76","232459.604098279","0.0","0.0"
"2007","01","1000 100","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","89365.0","89365.0","2045241.83","226051.021806647","0.0","0.0"
"2007","01","1000 100","06021000","UNROOTED CUTTINGS AND SLIPS","Germany","2021800.0","UN","22319.0","18593.0","2037301.16","225173.376659261","0.0","0.0"
"2007","01","1000 100","12074000","Sesamum seeds","Saudi Arabia","","","304158.0","303618.5","1996735.45","220689.838301447","0.0","0.0"
"2007","01","1000 100","14049000","Vegetable products, nes","Kenya","","","7276.0","6389.2","1987727.39","219694.219525404","0.0","0.0"
"2007","01","1000 100","52010000","Cotton, not carded or combed","Egypt","","","201646.0","198938.0","1968068.46","217521.40986107","0.0","0.0"
"2007","01","1000 505","41051000","TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE)","United Kingdom","","","6975.0","6725.0","1965336.77","217219.488930889","0.0","0.0"
"2007","01","1071 100","01029000","LIVE BOVINE ANIMALS, OTHER THAN CATTLE AND BUFFALO","United Arab Emirates","1000.0","UN","250000.0","250000.0","1861419.0","205733.943433138","0.0","0.0"
"2007","01","1000 505","41053000","TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST)","China","","","13016.0","12766.0","1844965.5","203915.41496734","0.0","0.0"
